question,answer
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","ממש לא!  למעשה, לרוב האנשים יש נושאים רבים, הרבה מהנושאים שאתה מתאר בדרך כלל הולכים יד ביד (ב""טיפול טיפול ""אנו מכנים זאת בתנאים חולניים) אני הייתי מסתכן שרוב הרגשות שאתה נאבק איתם STEM מהטראומה המוקדמת שלך.  הייתם מנוגלים מאוד מהייעוץ!  מטפל טוב יפתח תוכנית טיפול העוסקת בכל הצרכים שלך. בעזרה אתה בהחלט יכול לחיות חיים מאושרים בלי שכל החרדה והדיכאון שלך יפסיקו!"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","זו שאלה נהדרת! אני באופן אישי לא מאמין שלקוח יכול להיות אי פעם יותר מדי סוגיות לייעוץ. למעשה, סוג זה של חשיבה עשוי למנוע ממך לחפש ייעוץ, כך שהוא עשוי להפריע לך לקבל את העזרה הדרושה לך. למעשה, כל מה שתיארת מצביע על חשיבותך שביקש עזרה על מנת להתמודד עם האתגרים הרבים בחייך. אם אתה מבקש ייעוץ, יהיה חשוב שתבין שייתכן שתצטרך להישאר בייעוץ לפרק זמן מתמשך על מנת לעבוד על כל אחד מהנושאים הללו. כל הנושאים הללו לא יוכלו להיפתר מייד או בפרק זמן קצר. הייעוץ ייקח מחויבות ועבודה קשה, אך ניתן לך להתאושש ולהבריא מכל הנושאים שתיארת. לקוחות רבים נכנסים לייעוץ עם נושאים רבים ולא רק דבר אחד מסוים. רוב הזמן הנושאים מתייחסים ומחמירים זה את זה. אנו מכנים מצבים ""קומורבידיים"" אלה, מה שאומר ששתי בעיות בריאות הנפש או יותר קיימות בפעם אחת. הרבה פעמים, כשאתה מתחיל לעבוד בנושא אחד, הנושאים האחרים משתפרים כתוצאה מכך. אני ממליץ לך למצוא מטפל מקצועי שיכול לעזור לך ללמוד כיצד להתמודד עם כל קשיי בריאות הנפש שתיארת ו מגיע לך את העזרה בדיוק כמו כל אחד אחר."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?",אני לא חושב שיש דבר יותר מדי סוגיות. זה פשוט ייקח זמן לעבור את כל הנושאים.
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","לא, אין לך יותר מדי סוגיות לטפל בייעוץ. הרבה אנשים מציגים מספר נושאים שהם רוצים להתייחס אליהם, וזה מראה תובנה טובה. בדרך כלל בטיפול אתה מגלה שהכל קשור זה לזה, והנושאים שזורים זה בזה מהמחשבה הקודמת."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","מדריכים רוצים לעזור לך לעבד את כל מה שאתה נכנס לטיפול איתו! הם יכולים לעזור להדריך אותך איפה להתחיל ואיך להתחיל. ניירת הצריכה שלהם תשאל אותך שאלות על היסטוריית החיים שלך כדי שיוכלו לעזור לך לעבור בכל אזור. אל תפחד לשתף את הדברים האלה מראש עם המטפל שלך כדי שיוכלו להציב איתך יעדים ולעזור לך להרגיש בנוח כשאתה מתחיל. יתכן שייקח קצת זמן לחקור את האזורים השונים, אבל זה נורמלי! :)"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","אין לך יותר מדי סוגיות להתייחס אליהם
ייעוץ. ניתן לעבוד על כל דאגה בקצב שנוח לו
אתה עם יועץ מטופל, מטפל.  אתה תקף, והדאגות שלך תקפות. אַתָה
ראויים וראויים לקבל את התמיכה שאתה רוצה."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","אני משבח אותך שעשית צעד כה אמיץ לדבר על כל מה שעברת. לאף אחד אין ""יותר מדי סוגיות"" כדי לפנות לטיפול והייתי מוכן להמר שרבים מהדאגות הללו שזורים זה בזה וברגע שנפגע הקלה רבה לעקוב אחריהם. בהצלחה במסע שלך לקראת ריפוי. ברוב הפעמים הפצעים שלנו מובילים אותנו לחלקים הטובים ביותר בעצמנו."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","זה נשמע כאילו עברת הרבה, אבל בטיפול אין דבר כזה יותר מדי סוגיות. בשביל זה זה שם.  אני רוצה לנרמל שהרבה אנשים מרגישים שהם 'יותר מדי' אבל זה לא נכון.  הרבה מהנושאים שציינת קשורים זה בזה ועשויים להשפיע על האחר. אנחנו אדם שלם, ובריאותנו הגופנית משפיעה על בריאות הנפש שלנו ולהיפך.  לפעמים כשאתה עובד בנושא אחד בטיפול, זה יכול לעזור להקל על כמה מהנושאים האחרים.  קל להרגיש מוצף בכל מה שקורה, אך מטפל יכול גם לעזור לתעדף חלק מזה ולמצוא יעדים להתמקד בהם."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","לעתים קרובות אנשים מרגישים שהם מעבר לחיסכון, זה לרוב לא נכון. מציאת המטפל הנכון לעבוד על סוגיות אלה איתן ולעזור. אתה עשוי ליהנות מלהראות מומחה לטראומה. אם אתה נמצא בפלורידה אנו מציעים טיפול ב- EMDR באופן אישי או מקוון."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","עברת כל כך הרבה - נשמע שאתה גמיש מאוד! וכמה אמיץ מכם לשקול לחקור ייעוץ לראשונה. בהתבסס על מה ששיתפת, הייתי ממליץ לך לחפש מטפל המתמחה בטראומה, שלעתים קרובות יכול להופיע כתסמיני דיכאון וחרדה, והפרעה בשינה בהמשך החיים. אין לך יותר מדי סוגיות לחקור. פעמים רבות אנשים מגיעים לייעוץ עם מספר דברים שהם רוצים להתמקד בהם. מטפל טוב ייקח את הזמן לעזור לך לנפות את הנושאים אליהם תרצה להתייחס, לראות כיצד הם עשויים להיות מחוברים ולעזור לך לעבוד דרכם. בהצלחה במסע שלך לבריאות נפשית גדולה יותר!"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","כְּלָל לֹא! טראומה יכולה להתבטא במובנים רבים, כמו דיכאון וחרדה. טראומה יכולה גם לגרום לבעיות שינה, סיוטים הם מה שאני שומע ביותר עליהם, אבל זה יכול גם לגרום לנדודי שינה. ניצולי התעללות רבים יכולים להיות בעלי הערכה עצמית נמוכה. הייתי מציע לך להתחיל טיפול בטיפול בתסמינים הגורמים לך הכי הרבה סוגיות. למידה כיצד לווסת את הרגשות שלך ולסבול מצוקה תיתן לך את אבני הבניין להתחיל להגיע למטרה הבסיסית שהיא הטראומה. ברגע שאתה מעבד את הטראומה מההתעללות והנושאים הרפואיים, עליך להתחיל להרגיש טוב יותר עם עצמך ולהרגיש טוב יותר גם פיזית."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","אני תוהה אם אתה חושב שאתה לא נמנע מהמטפל על ידי הבאת יותר מדי סוגיות למפגשים? המציאות היא שלמעשה נפוץ מאוד שאדם יבוא לטיפול עם שלל סוגיות. למעשה, זה מעודד ללכת לטיפול אם יש הרבה דברים לעבוד עליהם. לא הייתם לא נוחים למטפל ואני באמת רוצה שתשקול להתחיל טיפול אצל קלינאי שאתה מרגיש בנוח איתו. בהצלחה לך!"
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?",ראשית אתה אומר שיש לי כל כך הרבה סוגיות אז אתה אומר שאני נשוי באושר כמעט 35 שנה (כפי שזה עבר עבר).   לרוב המדריכים/המטפלים יש השכלה או ניסיון רב בתחומים.  זה בערך שלך.  למצוא עוד על עצמך.  היית נהנה מזה כי זה מאפשר סוף סוף השקעה לעצמך ומדריך.   אל תסתכל לפעמים על הציפורניים או השיער שלך עבר זמן רב מאז שקיבלתם אותם טיפול מקצועי.  הייתם בשמחה איתם במשך 35 שנה.  אבל איך זה מרגיש כשיש לך מישהו אחר מדריך ומביא אנרגיה חדשה לשיער ולציפורניים שלך ואתה מרגיש כמו מיליון דולר ומדהים כשאתה יוצא החוצה.  יָמִינָה?  משהו לחשוב עליו.  ✨🙏
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","לא אפשרי! המטפל שלך יעזור לך לתעדף את יעדי הטיפול שלך ולעתים קרובות, ""סוגיות"" אלה שזורים זה בזה וככל שאתה מטפל בבעיה אחת, אחר עשוי לפתור או להיות פחות בעייתי."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","וואו, זה נשמע ממש מדהים. לא, לעולם אין בעיות רבות מדי או מעט מדי לטיפול. אני תומך גדול בבחירת הנושא הכי דחוף ולהעמיד את האנרגיה שלנו להתמודדות ואז כשאתה מרגיש טוב יותר, נוכל לעבור לדבר הבא. איננו יכולים לפתור את כל הנושאים בפעם אחת. אנחנו יכולים לנקוט בצעדים לתינוק, אך נגיע לשם."
"יש לי כל כך הרבה סוגיות לטפל בהן. יש לי היסטוריה של התעללות מינית, אני ניצול סרטן שד ואני נדודי שינה לכל החיים.    יש לי היסטוריה ארוכה של דיכאון ואני מתחיל להיות חרדה. יש לי הערכה עצמית נמוכה אבל הייתי נשואה באושר כמעט 35 שנה.
   מעולם לא היה לי ייעוץ לגבי כל זה. האם יש לי יותר מדי סוגיות לטפל בייעוץ?","לא, אין לך יותר מדי סוגיות לטפל בייעוץ. בני אדם מורכבים, ופשוט מבוסס על מעט המידע ששיתפת, זה נשמע שסביר להניח שחווית לא מעט טראומה בחייך. כאשר אנו חווים אירועים טראומטיים (כמו התעללות מינית, שרידות סרטן) זה משפיע על מצב הרוח והמחשבות שלנו על עצמנו. כמומחה לטראומה ומטפל EMDR, לעתים קרובות יש לי לקוחות שחוו הרבה דברים קשים בחייהם ועשויים להיכנס לראשונה לטיפול. תהליך הריפוי והלמידה של אמונות אדפטיביות יותר ואסטרטגיות התמודדות לוקח זמן, אך לעולם לא מאוחר להתחיל!"
